PR_ID,Date,"Activity Type",Reps,Weight_lb,Date_Mass,Mass_lb,BodyMass_Days_Apart
21,2026-06-27,Deadlift,6,225,2025-10-14,177.2,256
20,2026-06-25,"Hip Thrust",6,315,2025-10-14,177.2,254
19,2026-01-29,"Hip Thrust",3,315,2025-10-14,177.2,107
18,2025-08-31,"Chest Press",3,135,2025-10-14,177.2,44
17,2025-08-10,"Chest Press Machine",3,160,2025-10-14,177.2,65
16,2025-08-07,"Leg Press",10,507,2025-10-14,177.2,68
15,2025-07-19,Deadlift,3,225,2025-10-14,177.2,87
14,2025-06-29,Squat,7,235,2025-10-14,177.2,107
13,2025-06-16,"Leg Abductor",10,250,2025-10-14,177.2,120
12,2025-02-25,"Chest Press",3,45,2025-10-14,177.2,231
11,2024-12-11,"Leg Press",10,435,2025-10-14,177.2,307
10,2024-11-07,Deadlift,10,205,2025-10-14,177.2,341
9,2024-11-07,"Barbell Curl",10,20,2025-10-14,177.2,341
8,2024-11-07,"Chest Press",10,40,2025-10-14,177.2,341
7,2024-11-07,"Shoulder Press",10,35,2025-10-14,177.2,341
6,2023-12-11,"Leg Press",10,435,2025-10-14,177.2,673
5,2023-08-03,"Lat Pulldown",6,110,2025-10-14,177.2,803
4,2022-11-30,"Lat Pulldown",10,100,2025-10-14,177.2,1049
3,2022-09-25,"Lat Pulldown",10,90,2025-10-14,177.2,1115
2,2022-09-25,Deadlift,3,184,2025-10-14,177.2,1115
1,2022-08-10,"Leg Press",10,200,2025-10-14,177.2,1161
21,2026-06-27,Deadlift,6,225,2025-12-11,175.6,198
20,2026-06-25,"Hip Thrust",6,315,2025-12-11,175.6,196
19,2026-01-29,"Hip Thrust",3,315,2025-12-11,175.6,49
18,2025-08-31,"Chest Press",3,135,2025-12-11,175.6,102
17,2025-08-10,"Chest Press Machine",3,160,2025-12-11,175.6,123
16,2025-08-07,"Leg Press",10,507,2025-12-11,175.6,126
15,2025-07-19,Deadlift,3,225,2025-12-11,175.6,145
14,2025-06-29,Squat,7,235,2025-12-11,175.6,165
13,2025-06-16,"Leg Abductor",10,250,2025-12-11,175.6,178
12,2025-02-25,"Chest Press",3,45,2025-12-11,175.6,289
11,2024-12-11,"Leg Press",10,435,2025-12-11,175.6,365
10,2024-11-07,Deadlift,10,205,2025-12-11,175.6,399
9,2024-11-07,"Barbell Curl",10,20,2025-12-11,175.6,399
8,2024-11-07,"Chest Press",10,40,2025-12-11,175.6,399
7,2024-11-07,"Shoulder Press",10,35,2025-12-11,175.6,399
6,2023-12-11,"Leg Press",10,435,2025-12-11,175.6,731
5,2023-08-03,"Lat Pulldown",6,110,2025-12-11,175.6,861
4,2022-11-30,"Lat Pulldown",10,100,2025-12-11,175.6,1107
3,2022-09-25,"Lat Pulldown",10,90,2025-12-11,175.6,1173
2,2022-09-25,Deadlift,3,184,2025-12-11,175.6,1173
1,2022-08-10,"Leg Press",10,200,2025-12-11,175.6,1219
21,2026-06-27,Deadlift,6,225,2026-04-28,173.2,60
20,2026-06-25,"Hip Thrust",6,315,2026-04-28,173.2,58
19,2026-01-29,"Hip Thrust",3,315,2026-04-28,173.2,89
18,2025-08-31,"Chest Press",3,135,2026-04-28,173.2,240
17,2025-08-10,"Chest Press Machine",3,160,2026-04-28,173.2,261
16,2025-08-07,"Leg Press",10,507,2026-04-28,173.2,264
15,2025-07-19,Deadlift,3,225,2026-04-28,173.2,283
14,2025-06-29,Squat,7,235,2026-04-28,173.2,303
13,2025-06-16,"Leg Abductor",10,250,2026-04-28,173.2,316
12,2025-02-25,"Chest Press",3,45,2026-04-28,173.2,427
11,2024-12-11,"Leg Press",10,435,2026-04-28,173.2,503
10,2024-11-07,Deadlift,10,205,2026-04-28,173.2,537
9,2024-11-07,"Barbell Curl",10,20,2026-04-28,173.2,537
