Feature,Rows,Slope,Intercept,r,R2,Adj_R2,MAE,RMSE,F,t,Std_Error,p_value,CI_Low,CI_High
Apple Step Count,51,-0.000148,188.481,-0.472,0.222,0.207,6.287,7.599,14.02,-3.744,4e-05,0.000476,-0.000228,-6.9e-05
Distance,51,-0.257711,186.345,-0.456,0.208,0.191,6.314,7.672,12.836,-3.583,0.071932,0.000781,-0.402264,-0.113158
Walking Step Length,37,3.749324,89.661,0.328,0.108,0.082,7.433,8.495,4.226,2.056,1.823883,0.047333,0.046646,7.452003
Walking Speed,37,22.189648,124.882,0.223,0.05,0.022,7.741,8.767,1.825,1.351,16.424369,0.185359,-11.153594,55.53289
Basal Energy Burned,36,-0.000258,180.231,-0.205,0.042,0.014,3.736,5.217,1.485,-1.218,0.000212,0.231453,-0.000689,0.000173
Flights Climbed,50,-0.034558,182.361,-0.159,0.025,0.005,7.399,8.547,1.242,-1.115,0.031006,0.270596,-0.096901,0.027785
Active Energy Burned,36,-0.000564,178.748,-0.127,0.016,-0.013,3.726,5.286,0.56,-0.748,0.000754,0.459332,-0.002097,0.000968
Heart Rate,33,0.041809,172.997,0.084,0.007,-0.025,3.661,5.375,0.222,0.471,0.088699,0.640688,-0.139095,0.222713
