date,unit,value
2019-11-24,count,1995
2019-11-25,count,8326
2019-11-26,count,14246
2019-11-27,count,3719
2019-11-28,count,2387
2019-11-29,count,273
2019-11-30,count,2057
2019-12-01,count,8007
2019-12-02,count,12727
2019-12-03,count,7918
2019-12-04,count,12448
2019-12-05,count,3469
2019-12-06,count,9151
2019-12-07,count,2515
2019-12-08,count,2497
2019-12-09,count,5331
2019-12-10,count,7690
2019-12-11,count,10984
2019-12-12,count,8352
2019-12-13,count,13425
2019-12-14,count,11121
2019-12-15,count,2488
2019-12-16,count,12658
2019-12-17,count,8377
2019-12-18,count,8476
2019-12-19,count,10349
2019-12-20,count,1667
2019-12-21,count,5079
2019-12-22,count,6478
2019-12-23,count,12698
2019-12-24,count,9573
2019-12-25,count,4206
2019-12-26,count,6607
2019-12-27,count,12882
2019-12-28,count,10371
2019-12-29,count,4243
2019-12-30,count,7576
2019-12-31,count,11875
2020-01-01,count,4178
2020-01-02,count,10861
2020-01-03,count,12584
2020-01-04,count,5545
2020-01-05,count,5328
2020-01-06,count,27357
2020-01-07,count,16944
2020-01-08,count,3785
2020-01-09,count,5036
2020-01-10,count,9870
2020-01-11,count,6938
2020-01-12,count,7183
2020-01-13,count,4840
2020-01-14,count,6727
2020-01-15,count,9036
2020-01-16,count,9436
2020-01-17,count,4659
2020-01-18,count,9714
2020-01-19,count,1659
2020-01-20,count,28064
2020-01-21,count,12771
2020-01-22,count,7722
2020-01-23,count,10138
2020-01-24,count,7708
2020-01-25,count,7453
2020-01-26,count,5519
2020-01-27,count,13004
2020-01-28,count,8706
2020-01-29,count,9017
2020-01-30,count,22251
2020-01-31,count,9308
2020-02-01,count,9512
2020-02-02,count,9193
2020-02-03,count,6394
2020-02-04,count,13019
2020-02-05,count,11722
2020-02-06,count,10907
2020-02-07,count,6877
2020-02-08,count,5070
2020-02-09,count,4105
2020-02-10,count,5757
2020-02-11,count,16133
2020-02-12,count,8011
2020-02-13,count,9840
2020-02-14,count,3563
2020-02-15,count,3350
2020-02-16,count,10665
2020-02-17,count,8387
2020-02-18,count,19317
2020-02-19,count,12363
2020-02-20,count,18324
2020-02-21,count,5326
2020-02-22,count,3554
2020-02-23,count,7997
2020-02-24,count,11763
2020-02-25,count,7874
2020-02-26,count,11540
2020-02-27,count,8602
2020-02-28,count,15424
2020-02-29,count,1576
2020-03-01,count,7287
2020-03-02,count,20857
2020-03-03,count,14495
2020-03-04,count,6663
2020-03-05,count,6527
2020-03-06,count,7270
2020-03-07,count,21109
2020-03-08,count,2696
2020-03-09,count,5606
2020-03-10,count,7817
2020-03-11,count,17248
2020-03-12,count,20925
2020-03-13,count,9814
2020-03-14,count,2910
2020-03-15,count,2777
2020-03-16,count,12357
2020-03-17,count,5309
2020-03-18,count,10157
2020-03-19,count,4537
2020-03-20,count,17833
2020-03-21,count,3458
2020-03-22,count,5692
2020-03-23,count,8839
2020-03-24,count,1680
2020-03-25,count,682
2020-03-26,count,2767
2020-03-27,count,15956
2020-03-28,count,1073
2020-03-29,count,9698
2020-03-30,count,542
2020-03-31,count,4374
2020-04-01,count,905
2020-04-02,count,615
2020-04-03,count,9410
2020-04-04,count,862
2020-04-05,count,1261
2020-04-06,count,10117
2020-04-07,count,5672
2020-04-08,count,5791
2020-04-09,count,3600
2020-04-10,count,617
2020-04-11,count,10059
2020-04-12,count,845
2020-04-13,count,8028
2020-04-14,count,1118
2020-04-15,count,6249
2020-04-16,count,6394
2020-04-17,count,2588
2020-04-18,count,409
2020-04-19,count,5542
2020-04-20,count,2761
2020-04-21,count,9805
2020-04-22,count,5202
2020-04-23,count,358
2020-04-24,count,1480
2020-04-25,count,4165
2020-04-26,count,4768
2020-04-27,count,11103
2020-04-28,count,9653
2020-04-29,count,3158
2020-04-30,count,1787
2020-05-01,count,4319
2020-05-02,count,2429
2020-05-03,count,501
2020-05-04,count,3166
2020-05-05,count,8187
2020-05-06,count,3978
2020-05-07,count,16427
2020-05-08,count,4395
2020-05-09,count,5979
2020-05-10,count,7313
2020-05-11,count,4877
2020-05-12,count,4106
2020-05-13,count,2371
2020-05-14,count,1535
2020-05-15,count,3623
2020-05-16,count,1112
2020-05-17,count,362
2020-05-18,count,599
2020-05-19,count,1856
2020-05-20,count,2819
2020-05-21,count,1629
2020-05-22,count,9181
2020-05-23,count,1104
2020-05-24,count,5061
2020-05-25,count,3065
2020-05-26,count,3974
2020-05-27,count,1997
2020-05-28,count,15322
2020-05-29,count,4009
2020-05-30,count,1064
2020-05-31,count,4960
2020-06-01,count,1732
2020-06-02,count,9562
2020-06-03,count,7879
2020-06-04,count,1057
2020-06-05,count,13989
2020-06-06,count,8075
2020-06-07,count,11589
2020-06-08,count,16280
2020-06-09,count,17659
2020-06-10,count,2672
2020-06-11,count,20829
2020-06-12,count,6231
2020-06-13,count,6038
2020-06-14,count,4708
2020-06-15,count,6223
2020-06-16,count,8157
2020-06-17,count,17928
2020-06-18,count,19748
2020-06-19,count,6389
2020-06-20,count,16427
2020-06-21,count,9642
2020-06-22,count,13445
2020-06-23,count,6921
2020-06-24,count,4936
2020-06-25,count,7071
2020-06-26,count,6775
2020-06-27,count,13322
2020-06-28,count,5185
2020-06-29,count,22437
2020-06-30,count,12694
2020-07-01,count,19021
2020-07-02,count,13251
2020-07-03,count,6978
2020-07-04,count,4382
2020-07-05,count,1662
2020-07-06,count,3285
2020-07-07,count,5035
2020-07-08,count,18059
2020-07-09,count,9406
2020-07-10,count,4047
2020-07-11,count,5819
2020-07-12,count,11349
2020-07-13,count,701
2020-07-14,count,32219
2020-07-15,count,5376
2020-07-16,count,15790
2020-07-17,count,3749
2020-07-18,count,5916
2020-07-19,count,669
2020-07-20,count,17432
