date,unit,value
2020-01-22,ms,51.33
2020-01-23,ms,43.4
2020-01-24,ms,21.39
2020-01-25,ms,39.83
2020-01-26,ms,55.12
2020-01-27,ms,28.47
2020-01-28,ms,41.04
2020-01-29,ms,43.67
2020-01-30,ms,39.4
2020-01-31,ms,40.53
2020-02-01,ms,38.82
2020-02-02,ms,38.86
2020-02-03,ms,51.02
2020-02-04,ms,38.33
2020-02-05,ms,39.95
2020-02-06,ms,31.51
2020-02-07,ms,38.22
2020-02-08,ms,61.36
2020-02-09,ms,42.79
2020-02-10,ms,35.92
2020-02-11,ms,42.52
2020-02-12,ms,42.29
2020-02-13,ms,43.97
2020-02-14,ms,49.54
2020-02-15,ms,28.44
2020-02-16,ms,29.57
2020-02-17,ms,33.8
2020-02-18,ms,39.72
2020-02-19,ms,39.61
2020-02-20,ms,51.46
2020-02-21,ms,41.96
2020-02-22,ms,43.0
2020-02-23,ms,45.76
2020-02-24,ms,25.52
2020-02-25,ms,30.63
2020-02-26,ms,24.09
2020-02-27,ms,35.24
2020-02-28,ms,51.82
2020-03-02,ms,40.65
2020-03-03,ms,30.42
2020-03-04,ms,68.43
2020-03-05,ms,39.58
2020-03-06,ms,35.55
2020-03-07,ms,42.13
2020-03-08,ms,50.9
2020-03-09,ms,34.55
2020-03-10,ms,40.49
2020-03-11,ms,41.08
2020-03-12,ms,34.11
2020-03-13,ms,39.4
2020-03-14,ms,27.14
2020-03-15,ms,52.8
2020-03-16,ms,34.07
2020-03-18,ms,47.55
2020-03-19,ms,33.89
2020-03-20,ms,47.26
2020-03-21,ms,26.03
2020-03-22,ms,33.05
2020-03-23,ms,40.48
2020-03-24,ms,37.47
2020-03-26,ms,27.26
2020-03-27,ms,42.49
2020-03-29,ms,35.86
2020-03-30,ms,50.45
2020-03-31,ms,28.73
2020-04-03,ms,30.77
2020-04-06,ms,22.34
2020-04-07,ms,38.45
2020-04-08,ms,56.97
2020-04-11,ms,35.24
2020-04-12,ms,33.09
2020-04-13,ms,26.72
2020-04-16,ms,33.71
2020-04-17,ms,65.4
2020-04-19,ms,36.45
2020-04-20,ms,24.1
2020-04-21,ms,25.02
2020-04-22,ms,31.46
2020-04-23,ms,18.56
