date,unit,value
2020-02-06,min,21
2020-02-07,min,10
2020-02-08,min,7
2020-02-09,min,49
2020-02-10,min,5
2020-02-11,min,59
2020-02-12,min,16
2020-02-13,min,7
2020-02-14,min,1
2020-02-15,min,4
2020-02-16,min,5
2020-02-17,min,5
2020-02-18,min,62
2020-02-19,min,27
2020-02-20,min,45
2020-02-21,min,6
2020-02-22,min,4
2020-02-23,min,40
2020-02-24,min,15
2020-02-25,min,10
2020-02-26,min,15
2020-02-27,min,12
2020-02-28,min,18
2020-02-29,min,4
2020-03-01,min,26
2020-03-02,min,62
2020-03-03,min,17
2020-03-04,min,8
2020-03-05,min,7
2020-03-06,min,11
2020-03-07,min,68
2020-03-08,min,1
2020-03-09,min,9
2020-03-10,min,38
2020-03-11,min,72
2020-03-12,min,59
2020-03-13,min,13
2020-03-14,min,2
2020-03-15,min,3
2020-03-16,min,20
2020-03-17,min,6
2020-03-18,min,11
2020-03-19,min,4
2020-03-20,min,45
2020-03-22,min,3
2020-03-23,min,12
2020-03-25,min,1
2020-03-26,min,4
2020-03-27,min,49
2020-03-28,min,2
2020-03-29,min,9
2020-03-31,min,7
2020-04-01,min,2
2020-04-03,min,14
2020-04-04,min,1
2020-04-06,min,18
2020-04-07,min,2
2020-04-08,min,5
2020-04-09,min,5
2020-04-10,min,3
2020-04-11,min,42
2020-04-12,min,4
2020-04-13,min,14
2020-04-14,min,3
2020-04-15,min,13
2020-04-16,min,11
2020-04-17,min,2
2020-04-18,min,1
2020-04-19,min,7
2020-04-21,min,37
2020-04-22,min,9
2020-04-24,min,4
2020-04-25,min,4
2020-04-26,min,4
2020-04-27,min,4
2020-04-28,min,19
2020-04-29,min,6
2020-05-01,min,7
2020-05-02,min,1
2020-05-04,min,4
2020-05-05,min,17
2020-05-07,min,8
2020-05-09,min,3
2020-05-10,min,33
2020-05-11,min,1
2020-05-12,min,2
2020-05-13,min,3
2020-05-15,min,1
2020-05-16,min,2
2020-05-17,min,1
2020-05-18,min,1
2020-05-20,min,1
2020-05-22,min,5
2020-05-24,min,2
2020-05-25,min,2
2020-05-26,min,4
2020-05-28,min,39
2020-05-29,min,2
2020-05-30,min,3
2020-05-31,min,9
2020-06-02,min,11
2020-06-03,min,45
2020-06-04,min,1
2020-06-05,min,42
2020-06-06,min,18
2020-06-07,min,25
2020-06-08,min,43
2020-06-09,min,43
2020-06-10,min,2
2020-06-11,min,79
2020-06-12,min,7
2020-06-13,min,9
2020-06-14,min,10
2020-06-15,min,6
2020-06-16,min,59
2020-06-17,min,37
2020-06-18,min,62
2020-06-19,min,5
2020-06-20,min,35
2020-06-21,min,7
2020-06-22,min,7
2020-06-23,min,3
2020-06-24,min,2
2020-06-25,min,24
2020-06-26,min,2
2020-06-27,min,24
2020-06-28,min,3
2020-06-29,min,46
2020-06-30,min,5
2020-07-01,min,25
2020-07-02,min,26
2020-07-03,min,1
2020-07-04,min,2
2020-07-05,min,1
2020-07-06,min,2
2020-07-07,min,1
2020-07-08,min,49
2020-07-09,min,7
2020-07-11,min,19
2020-07-12,min,36
2020-07-14,min,122
2020-07-15,min,1
2020-07-16,min,53
2020-07-17,min,4
2020-07-18,min,1
2020-07-19,min,1
2020-07-20,min,61
2020-07-25,min,79
2020-07-26,min,13
2020-07-28,min,56
2020-07-29,min,79
2020-07-30,min,6
2020-07-31,min,8
2020-08-02,min,1
2020-08-03,min,2
2020-08-04,min,1
2020-08-10,min,29
2020-08-11,min,21
2020-08-12,min,10
2020-08-13,min,4
2020-08-14,min,28
2020-08-15,min,27
2020-08-16,min,5
2020-08-17,min,4
2020-08-18,min,2
2020-08-19,min,10
2020-08-20,min,1
2020-08-24,min,47
2020-08-25,min,39
2020-08-26,min,31
2020-08-27,min,69
2020-08-28,min,25
2020-08-29,min,2
2020-08-31,min,66
2020-09-01,min,57
2020-09-02,min,5
2020-09-04,min,10
2020-09-11,min,7
2020-09-12,min,2
2020-09-13,min,2
2020-09-15,min,6
2020-09-16,min,3
2020-09-17,min,7
2020-09-18,min,27
2020-09-19,min,50
2020-09-20,min,14
2020-09-21,min,6
2020-09-22,min,12
2020-09-23,min,14
2020-09-24,min,44
2020-09-25,min,45
2020-09-26,min,4
2020-09-27,min,67
2020-09-28,min,6
2020-09-29,min,50
2020-09-30,min,49
2020-10-01,min,23
2020-10-02,min,3
2020-10-03,min,14
2020-10-04,min,3
2020-10-05,min,31
2020-10-06,min,6
2020-10-07,min,24
2020-10-08,min,55
2020-10-09,min,344
2020-10-10,min,57
2020-10-11,min,3
2020-10-12,min,14
2020-10-13,min,7
2020-10-14,min,8
2020-10-15,min,37
2020-10-16,min,69
2020-10-19,min,45
2020-10-20,min,5
2020-10-21,min,5
2020-10-22,min,7
2020-10-23,min,3
2020-10-24,min,8
2020-10-25,min,13
2020-10-26,min,44
2020-10-27,min,2
2020-10-28,min,11
2020-10-29,min,3
2020-10-30,min,55
2020-10-31,min,2
2020-11-01,min,3
2020-11-02,min,77
2020-11-04,min,5
2020-11-05,min,9
2020-11-06,min,58
2020-11-07,min,4
2020-11-08,min,5
2020-11-09,min,10
2020-11-10,min,8
2020-11-11,min,39
2020-11-12,min,23
2020-11-13,min,4
2020-11-14,min,1
2020-11-15,min,4
2020-11-17,min,3
2020-11-18,min,6
2020-11-19,min,10
2020-11-20,min,5
2020-11-21,min,7
2020-11-22,min,11
2020-11-23,min,11
2020-11-24,min,39
2020-11-25,min,6
2020-11-26,min,2
2020-11-27,min,24
2020-11-28,min,11
2020-11-29,min,10
2020-11-30,min,4
2020-12-01,min,7
2020-12-02,min,5
2020-12-03,min,34
2020-12-04,min,5
2020-12-05,min,5
2020-12-06,min,4
2020-12-07,min,14
2020-12-08,min,1
2020-12-09,min,8
2020-12-11,min,8
2020-12-12,min,4
2020-12-13,min,1
2020-12-14,min,17
2020-12-15,min,2
2020-12-16,min,8
2020-12-17,min,2
2020-12-18,min,3
2020-12-21,min,11
2020-12-22,min,39
2020-12-23,min,2
2020-12-24,min,2
2020-12-25,min,10
2020-12-28,min,65
2020-12-29,min,58
2020-12-30,min,47
2020-12-31,min,16
2021-01-01,min,13
2021-01-02,min,9
2021-01-04,min,63
2021-01-05,min,44
2021-01-06,min,2
2021-01-07,min,63
2021-01-08,min,79
2021-01-09,min,3
2021-01-10,min,54
2021-01-11,min,63
2021-01-12,min,40
2021-01-13,min,27
2021-01-14,min,40
2021-01-15,min,47
2021-01-16,min,1
2021-01-17,min,27
2021-01-18,min,50
2021-01-19,min,7
2021-01-20,min,59
2021-01-21,min,4
2021-01-22,min,13
2021-01-23,min,9
2021-01-24,min,5
2021-01-25,min,65
2021-01-26,min,1
2021-01-27,min,8
2021-01-28,min,5
2021-01-29,min,6
2021-02-02,min,9
2021-02-03,min,2
2021-02-04,min,337
2021-02-05,min,2
2021-02-06,min,38
2021-02-07,min,6
2021-02-08,min,5
2021-02-09,min,14
2021-02-10,min,47
2021-02-11,min,2
2021-02-12,min,16
2021-02-13,min,6
2021-02-14,min,7
2021-02-15,min,5
2021-02-16,min,1
2021-02-17,min,61
2021-02-18,min,44
2021-02-19,min,39
2021-02-20,min,30
2021-02-21,min,8
2021-02-22,min,61
2021-02-23,min,4
2021-02-24,min,46
2021-02-26,min,47
2021-02-27,min,3
2021-02-28,min,39
2021-03-01,min,49
2021-03-02,min,54
2021-03-03,min,16
2021-03-04,min,37
2021-03-05,min,28
2021-03-06,min,1
2021-03-07,min,4
2021-03-08,min,36
2021-03-09,min,11
2021-03-10,min,83
2021-03-11,min,5
2021-03-12,min,8
2021-03-13,min,10
2021-03-14,min,7
2021-03-15,min,13
2021-03-16,min,4
2021-03-17,min,12
2021-03-18,min,7
2021-03-19,min,10
2021-03-20,min,4
2021-03-21,min,8
2021-03-22,min,4
2021-03-23,min,35
2021-03-24,min,3
2021-03-27,min,13
2021-03-28,min,55
2021-03-29,min,70
2021-03-30,min,2
2021-03-31,min,73
2021-04-01,min,57
2021-04-02,min,2
2021-04-03,min,87
2021-04-04,min,3
2021-04-05,min,51
2021-04-06,min,74
2021-04-07,min,2
2021-04-08,min,82
2021-04-09,min,4
2021-04-10,min,20
2021-04-12,min,69
2021-04-13,min,9
2021-04-14,min,3
2021-04-15,min,61
2021-04-16,min,84
2021-04-17,min,3
2021-04-18,min,315
2021-04-19,min,9
2021-04-21,min,51
2021-04-22,min,41
2021-04-23,min,2
2021-04-24,min,35
2021-04-25,min,53
2021-04-26,min,5
2021-04-27,min,5
2021-04-28,min,3
2021-04-29,min,46
2021-04-30,min,1
2021-05-01,min,59
2021-05-02,min,45
2021-05-03,min,7
2021-05-04,min,37
2021-05-05,min,1
2021-05-06,min,42
2021-05-07,min,89
2021-05-08,min,66
2021-05-09,min,67
2021-05-10,min,1
2021-05-11,min,1
2021-05-12,min,95
2021-05-13,min,1
2021-05-14,min,2
2021-05-17,min,1
2021-05-18,min,54
2021-05-19,min,18
2021-05-20,min,100
2021-05-21,min,38
2021-05-22,min,59
2021-05-23,min,1
2021-05-24,min,8
2021-05-25,min,5
2021-05-26,min,2
2021-05-27,min,5
2021-05-28,min,6
2021-05-29,min,1
2021-05-30,min,1
2021-05-31,min,4
2021-06-01,min,1
2021-06-02,min,2
2021-06-03,min,9
2021-06-04,min,15
2021-06-05,min,1
2021-06-06,min,3
2021-06-07,min,2
2021-06-08,min,4
2021-06-09,min,3
2021-06-10,min,15
2021-06-11,min,16
2021-06-12,min,7
2021-06-13,min,7
2021-06-14,min,97
2021-06-15,min,58
2021-06-16,min,52
2021-06-17,min,1
2021-06-18,min,1
2021-06-19,min,3
2021-06-25,min,4
2021-06-26,min,1
2021-06-28,min,1
2021-06-29,min,36
2021-06-30,min,4
2021-07-01,min,16
2021-07-02,min,2
2021-07-03,min,6
2021-07-04,min,6
2021-07-05,min,1
2021-07-06,min,24
2021-07-08,min,2
2021-07-09,min,2
2021-07-10,min,101
2021-07-11,min,91
2021-07-12,min,88
2021-07-13,min,78
2021-07-14,min,94
2021-07-15,min,1
2021-07-16,min,163
2021-07-17,min,61
2021-07-18,min,7
2021-07-19,min,61
2021-07-20,min,82
2021-07-21,min,109
2021-07-22,min,2
2021-07-23,min,74
2021-07-24,min,3
2021-07-25,min,85
2021-07-26,min,119
2021-07-27,min,90
2021-07-28,min,95
2021-07-29,min,103
2021-07-30,min,67
2021-08-01,min,20
2021-08-02,min,53
2021-08-03,min,59
2021-08-04,min,58
2021-08-05,min,17
2021-08-06,min,46
2021-08-09,min,55
2021-08-10,min,106
2021-08-11,min,8
2021-08-12,min,47
2021-08-13,min,89
2021-08-14,min,57
2021-08-15,min,6
2021-08-16,min,3
2021-08-17,min,2
2021-08-18,min,8
2021-08-19,min,105
2021-08-20,min,3
2021-08-21,min,3
2021-08-22,min,6
2021-08-23,min,19
2021-08-27,min,5
2021-08-28,min,45
2021-08-29,min,47
2021-08-30,min,58
2021-08-31,min,118
2021-09-01,min,86
2021-09-02,min,58
2021-09-03,min,96
2021-09-04,min,39
2021-09-05,min,38
2021-09-06,min,99
2021-09-07,min,80
2021-09-08,min,144
2021-09-09,min,72
2021-09-10,min,124
2021-09-11,min,12
2021-09-12,min,81
2021-09-13,min,84
2021-09-14,min,2
2021-09-15,min,108
2021-09-16,min,60
2021-09-17,min,7
2021-09-18,min,32
2021-09-19,min,84
2021-09-20,min,39
2021-09-21,min,28
2021-09-22,min,37
2021-09-23,min,3
2021-09-24,min,43
2021-09-25,min,6
2021-09-26,min,7
2021-09-27,min,41
2021-09-28,min,40
2021-09-29,min,40
2021-09-30,min,30
2021-10-01,min,58
2021-10-02,min,38
2021-10-03,min,31
2021-10-04,min,35
2021-10-05,min,54
2021-10-06,min,7
2021-10-07,min,54
2021-10-08,min,50
2021-10-09,min,20
2021-10-10,min,48
2021-10-11,min,84
2021-10-12,min,7
2021-10-14,min,4
2021-10-15,min,15
2021-10-16,min,43
2021-10-17,min,13
