date,unit,value
2021-07-04,in,23.67
2021-07-06,in,22.35
2021-07-07,in,28.35
2021-07-08,in,11.81
2021-07-09,in,20.24
2021-07-10,in,28.94
2021-07-11,in,23.56
2021-07-12,in,25.41
2021-07-13,in,25.79
2021-07-14,in,33.27
2021-07-16,in,25.39
2021-07-17,in,31.44
2021-07-18,in,23.75
2021-07-19,in,25.26
2021-07-20,in,23.92
2021-07-21,in,24.89
2021-07-22,in,25.0
2021-07-23,in,23.52
2021-07-24,in,24.02
2021-07-25,in,26.03
2021-07-26,in,23.39
2021-07-27,in,22.24
2021-07-28,in,23.11
2021-07-29,in,20.87
2021-07-30,in,23.75
2021-07-31,in,24.31
2021-08-01,in,25.89
2021-08-02,in,25.85
2021-08-03,in,22.55
2021-08-04,in,26.38
2021-08-05,in,23.62
2021-08-06,in,23.39
2021-08-07,in,22.34
2021-08-08,in,24.96
2021-08-09,in,24.37
2021-08-10,in,24.84
2021-08-11,in,23.05
2021-08-12,in,26.51
2021-08-13,in,24.94
2021-08-14,in,24.41
2021-08-15,in,22.57
2021-08-16,in,18.5
2021-08-17,in,22.53
2021-08-18,in,24.13
2021-08-19,in,27.03
2021-08-20,in,23.52
2021-08-21,in,25.85
2021-08-22,in,26.38
2021-08-23,in,23.93
2021-08-24,in,24.19
2021-08-25,in,25.35
2021-08-26,in,21.08
2021-08-27,in,26.3
2021-08-28,in,28.65
2021-08-29,in,27.4
2021-08-30,in,27.55
2021-08-31,in,29.53
2021-09-01,in,25.7
2021-09-02,in,30.61
2021-09-03,in,23.78
2021-09-04,in,30.6
2021-09-05,in,26.64
2021-09-06,in,25.86
2021-09-07,in,23.73
2021-09-08,in,24.57
2021-09-09,in,27.47
2021-09-10,in,25.05
2021-09-11,in,25.7
2021-09-12,in,27.98
2021-09-13,in,25.07
2021-09-14,in,26.14
2021-09-15,in,24.0
2021-09-16,in,27.81
2021-09-17,in,24.74
2021-09-18,in,23.55
2021-09-19,in,28.9
2021-09-20,in,25.89
2021-09-21,in,25.71
2021-09-22,in,26.7
2021-09-23,in,22.17
2021-09-24,in,26.92
2021-09-25,in,23.93
2021-09-26,in,24.33
2021-09-27,in,29.9
2021-09-28,in,25.91
2021-09-29,in,25.47
2021-09-30,in,26.85
2021-10-01,in,25.72
2021-10-02,in,26.99
2021-10-03,in,26.14
2021-10-04,in,22.78
2021-10-05,in,29.69
2021-10-06,in,26.18
2021-10-07,in,25.39
2021-10-08,in,27.98
2021-10-09,in,26.34
2021-10-10,in,30.81
