date,unit,value
2019-10-09,Cal,160.16
2019-10-10,Cal,4.33
2019-10-11,Cal,381.94
2019-10-12,Cal,0.05
2019-10-13,Cal,396.85
2019-10-14,Cal,439.09
2019-10-15,Cal,407.8
2019-10-18,Cal,442.84
2019-10-19,Cal,221.92
2019-10-20,Cal,738.08
2019-10-21,Cal,234.54
2019-10-22,Cal,204.77
2019-10-23,Cal,592.02
2019-10-24,Cal,261.8
2019-10-25,Cal,372.83
2019-10-26,Cal,335.85
2019-10-27,Cal,448.28
2019-10-28,Cal,533.98
2019-10-29,Cal,703.14
2019-10-30,Cal,63.91
2019-10-31,Cal,396.99
2019-11-01,Cal,282.89
2019-11-02,Cal,217.6
2019-11-03,Cal,5.06
2019-11-04,Cal,671.92
2019-11-05,Cal,840.36
2019-11-06,Cal,399.65
2019-11-07,Cal,251.48
2019-11-08,Cal,735.53
2019-11-09,Cal,256.78
2019-11-10,Cal,3.47
2019-11-11,Cal,691.9
2019-11-12,Cal,546.71
2019-11-13,Cal,8.2
2019-11-14,Cal,959.34
2019-11-15,Cal,458.4
2019-11-16,Cal,7.19
2019-11-17,Cal,76.98
2019-11-20,Cal,197.9
2019-11-21,Cal,287.95
2019-11-22,Cal,555.42
2019-11-23,Cal,299.49
2019-11-24,Cal,6.62
2019-11-25,Cal,473.67
2019-11-26,Cal,651.77
2019-11-27,Cal,255.3
2019-11-28,Cal,143.68
2019-11-29,Cal,2.83
2019-11-30,Cal,150.03
2019-12-01,Cal,389.38
2019-12-02,Cal,546.97
2019-12-03,Cal,471.08
2019-12-04,Cal,608.49
2019-12-05,Cal,0.19
2019-12-06,Cal,496.2
2019-12-07,Cal,0.13
2019-12-08,Cal,294.86
2019-12-09,Cal,297.16
2019-12-10,Cal,423.93
2019-12-11,Cal,638.27
2019-12-12,Cal,396.36
2019-12-13,Cal,560.12
2019-12-14,Cal,591.96
2019-12-15,Cal,96.56
2019-12-16,Cal,410.89
2019-12-17,Cal,415.2
2019-12-18,Cal,502.62
2019-12-19,Cal,566.92
2019-12-20,Cal,7.45
2019-12-21,Cal,314.11
2019-12-22,Cal,317.22
2019-12-23,Cal,526.8
2019-12-24,Cal,374.75
2019-12-25,Cal,169.36
2019-12-26,Cal,377.36
2019-12-27,Cal,665.15
2019-12-28,Cal,564.08
2019-12-29,Cal,222.26
2019-12-30,Cal,355.02
2019-12-31,Cal,437.28
2020-01-01,Cal,283.71
2020-01-02,Cal,688.29
2020-01-03,Cal,660.86
2020-01-04,Cal,402.33
2020-01-05,Cal,360.6
2020-01-06,Cal,902.15
2020-01-07,Cal,684.76
2020-01-08,Cal,84.3
2020-01-09,Cal,389.68
2020-01-10,Cal,671.05
2020-01-11,Cal,339.19
2020-01-12,Cal,143.29
2020-01-13,Cal,202.25
2020-01-14,Cal,271.73
2020-01-15,Cal,193.21
2020-01-16,Cal,519.26
2020-01-17,Cal,3.65
2020-01-18,Cal,457.26
2020-01-19,Cal,3.23
2020-01-20,Cal,1053.3
2020-01-21,Cal,675.51
2020-01-22,Cal,418.17
2020-01-23,Cal,441.91
2020-01-24,Cal,536.16
2020-01-25,Cal,452.64
2020-01-26,Cal,387.51
2020-01-27,Cal,858.62
2020-01-28,Cal,473.85
2020-01-29,Cal,536.1
2020-01-30,Cal,858.6
2020-01-31,Cal,536.98
2020-02-01,Cal,491.45
2020-02-02,Cal,924.68
2020-02-03,Cal,425.89
2020-02-04,Cal,599.43
2020-02-05,Cal,464.9
2020-02-06,Cal,488.95
2020-02-07,Cal,393.46
2020-02-08,Cal,350.92
2020-02-09,Cal,536.58
2020-02-10,Cal,244.2
2020-02-11,Cal,773.8
2020-02-12,Cal,498.32
2020-02-13,Cal,490.93
2020-02-14,Cal,243.9
2020-02-15,Cal,307.55
2020-02-16,Cal,447.31
2020-02-17,Cal,495.65
2020-02-18,Cal,913.54
2020-02-19,Cal,597.14
2020-02-20,Cal,635.65
2020-02-21,Cal,418.12
2020-02-22,Cal,303.6
2020-02-23,Cal,574.68
2020-02-24,Cal,564.36
2020-02-25,Cal,458.52
2020-02-26,Cal,521.28
2020-02-27,Cal,359.9
2020-02-28,Cal,598.53
2020-02-29,Cal,10.74
2020-03-01,Cal,338.21
2020-03-02,Cal,821.88
2020-03-03,Cal,665.08
2020-03-04,Cal,410.98
2020-03-05,Cal,376.63
2020-03-06,Cal,510.98
2020-03-07,Cal,666.48
2020-03-08,Cal,265.62
2020-03-09,Cal,365.2
2020-03-10,Cal,585.8
2020-03-11,Cal,954.25
2020-03-12,Cal,742.92
2020-03-13,Cal,567.91
2020-03-14,Cal,307.97
2020-03-15,Cal,39.93
2020-03-16,Cal,471.57
2020-03-17,Cal,361.89
2020-03-18,Cal,507.18
2020-03-19,Cal,286.78
2020-03-20,Cal,635.54
2020-03-21,Cal,343.07
2020-03-22,Cal,297.54
2020-03-23,Cal,528.49
2020-03-24,Cal,226.68
2020-03-25,Cal,28.84
2020-03-26,Cal,259.54
2020-03-27,Cal,668.75
2020-03-28,Cal,4.76
2020-03-29,Cal,387.75
2020-03-30,Cal,39.08
2020-03-31,Cal,237.49
2020-04-01,Cal,39.86
2020-04-03,Cal,434.3
2020-04-04,Cal,3.83
2020-04-05,Cal,1.43
2020-04-06,Cal,619.79
2020-04-07,Cal,126.51
2020-04-08,Cal,428.81
2020-04-09,Cal,142.47
2020-04-10,Cal,7.28
2020-04-11,Cal,518.7
2020-04-12,Cal,37.24
2020-04-13,Cal,492.89
2020-04-14,Cal,9.45
2020-04-15,Cal,331.08
2020-04-16,Cal,329.46
2020-04-17,Cal,136.19
2020-04-18,Cal,3.06
2020-04-19,Cal,359.59
2020-04-20,Cal,276.38
2020-04-21,Cal,493.97
2020-04-22,Cal,306.57
2020-04-23,Cal,80.98
2020-04-24,Cal,34.94
2020-04-25,Cal,11.43
2020-04-26,Cal,239.66
2020-04-27,Cal,538.98
2020-04-28,Cal,504.69
2020-04-29,Cal,325.31
2020-04-30,Cal,254.4
2020-05-01,Cal,360.81
2020-05-02,Cal,3.69
2020-05-04,Cal,124.84
2020-05-05,Cal,377.1
2020-05-06,Cal,364.4
2020-05-07,Cal,539.94
2020-05-08,Cal,418.72
2020-05-09,Cal,410.68
2020-05-10,Cal,480.04
2020-05-11,Cal,389.04
2020-05-12,Cal,294.01
2020-05-13,Cal,57.59
2020-05-14,Cal,165.76
2020-05-15,Cal,256.24
2020-05-16,Cal,8.18
2020-05-17,Cal,3.02
2020-05-18,Cal,2.14
2020-05-19,Cal,0.19
2020-05-20,Cal,257.53
2020-05-21,Cal,160.01
2020-05-22,Cal,469.43
2020-05-23,Cal,108.66
2020-05-24,Cal,458.05
2020-05-25,Cal,357.51
2020-05-26,Cal,346.68
2020-05-27,Cal,232.19
2020-05-28,Cal,694.7
2020-05-29,Cal,275.82
2020-05-30,Cal,18.92
2020-05-31,Cal,321.84
2020-06-01,Cal,139.22
2020-06-02,Cal,454.66
2020-06-03,Cal,587.29
2020-06-04,Cal,94.23
2020-06-05,Cal,666.2
2020-06-06,Cal,519.18
2020-06-07,Cal,332.21
2020-06-08,Cal,513.94
2020-06-09,Cal,436.37
2020-06-10,Cal,226.16
2020-06-11,Cal,1050.26
2020-06-12,Cal,386.77
2020-06-13,Cal,459.69
2020-06-14,Cal,353.79
2020-06-15,Cal,355.56
2020-06-16,Cal,766.29
2020-06-17,Cal,702.21
2020-06-18,Cal,852.31
2020-06-19,Cal,426.5
2020-06-20,Cal,712.6
2020-06-21,Cal,500.44
2020-06-22,Cal,478.77
2020-06-23,Cal,477.75
2020-06-24,Cal,364.36
2020-06-25,Cal,396.99
2020-06-26,Cal,430.69
2020-06-27,Cal,626.4
2020-06-28,Cal,235.14
2020-06-29,Cal,804.25
2020-06-30,Cal,442.62
2020-07-01,Cal,620.54
2020-07-02,Cal,734.15
2020-07-03,Cal,430.59
2020-07-04,Cal,271.38
2020-07-05,Cal,96.48
2020-07-06,Cal,218.19
2020-07-07,Cal,404.28
2020-07-08,Cal,959.0
2020-07-09,Cal,505.26
2020-07-10,Cal,273.24
2020-07-11,Cal,309.37
2020-07-12,Cal,355.66
2020-07-14,Cal,1164.73
2020-07-15,Cal,375.19
2020-07-16,Cal,479.09
2020-07-17,Cal,317.62
2020-07-18,Cal,381.96
2020-07-19,Cal,2.95
2020-07-20,Cal,727.7
2020-07-21,Cal,405.33
2020-07-22,Cal,334.28
2020-07-23,Cal,149.27
2020-07-24,Cal,426.31
2020-07-25,Cal,832.92
2020-07-26,Cal,509.47
2020-07-27,Cal,343.56
2020-07-28,Cal,645.48
2020-07-29,Cal,860.52
2020-07-30,Cal,508.04
2020-07-31,Cal,303.86
2020-08-01,Cal,154.51
2020-08-02,Cal,2.26
2020-08-03,Cal,326.78
2020-08-04,Cal,206.36
2020-08-06,Cal,283.47
2020-08-08,Cal,0.35
2020-08-10,Cal,571.45
2020-08-11,Cal,280.05
2020-08-12,Cal,353.22
2020-08-13,Cal,252.42
2020-08-14,Cal,559.67
2020-08-15,Cal,381.99
2020-08-16,Cal,335.31
2020-08-17,Cal,450.19
2020-08-18,Cal,397.43
2020-08-19,Cal,476.93
2020-08-20,Cal,2.25
2020-08-21,Cal,2.14
2020-08-22,Cal,125.07
2020-08-23,Cal,0.16
2020-08-24,Cal,703.78
2020-08-25,Cal,679.79
2020-08-26,Cal,414.33
2020-08-27,Cal,895.85
2020-08-28,Cal,318.15
2020-08-29,Cal,267.09
2020-08-31,Cal,639.83
2020-09-01,Cal,584.03
2020-09-02,Cal,430.31
2020-09-03,Cal,0.15
2020-09-04,Cal,279.7
2020-09-05,Cal,0.87
2020-09-07,Cal,43.21
2020-09-11,Cal,550.93
2020-09-12,Cal,60.84
2020-09-13,Cal,249.42
2020-09-14,Cal,173.88
2020-09-15,Cal,328.32
2020-09-16,Cal,294.14
2020-09-17,Cal,426.14
2020-09-18,Cal,577.67
2020-09-19,Cal,726.61
2020-09-20,Cal,135.82
2020-09-21,Cal,347.15
2020-09-22,Cal,594.09
2020-09-23,Cal,353.38
2020-09-24,Cal,599.86
2020-09-25,Cal,572.76
2020-09-26,Cal,459.98
2020-09-27,Cal,749.99
2020-09-28,Cal,288.98
2020-09-29,Cal,474.62
2020-09-30,Cal,651.63
2020-10-01,Cal,520.72
2020-10-02,Cal,172.12
2020-10-03,Cal,614.02
2020-10-04,Cal,249.71
2020-10-05,Cal,673.03
2020-10-06,Cal,404.06
2020-10-07,Cal,435.06
2020-10-08,Cal,694.99
2020-10-09,Cal,626.72
2020-10-10,Cal,595.39
2020-10-11,Cal,234.96
2020-10-12,Cal,445.35
2020-10-13,Cal,464.93
2020-10-14,Cal,322.26
2020-10-15,Cal,663.73
2020-10-16,Cal,558.18
2020-10-19,Cal,534.22
2020-10-20,Cal,327.63
2020-10-21,Cal,365.58
2020-10-22,Cal,448.42
2020-10-23,Cal,256.57
2020-10-24,Cal,302.22
2020-10-25,Cal,478.35
2020-10-26,Cal,677.38
2020-10-27,Cal,303.58
2020-10-28,Cal,530.62
2020-10-29,Cal,266.69
2020-10-30,Cal,481.18
2020-10-31,Cal,185.84
2020-11-01,Cal,54.47
2020-11-02,Cal,851.27
2020-11-03,Cal,42.2
2020-11-04,Cal,166.09
2020-11-05,Cal,442.31
2020-11-06,Cal,785.4
2020-11-07,Cal,192.26
2020-11-08,Cal,340.17
2020-11-09,Cal,437.9
2020-11-10,Cal,261.11
2020-11-11,Cal,574.05
2020-11-12,Cal,609.75
2020-11-13,Cal,525.61
2020-11-14,Cal,7.39
2020-11-15,Cal,95.51
2020-11-17,Cal,265.87
2020-11-18,Cal,382.35
2020-11-19,Cal,345.27
2020-11-20,Cal,323.83
2020-11-21,Cal,197.79
2020-11-22,Cal,460.93
2020-11-23,Cal,437.4
2020-11-24,Cal,442.9
2020-11-25,Cal,223.52
2020-11-26,Cal,215.71
2020-11-27,Cal,209.29
2020-11-28,Cal,371.29
2020-11-29,Cal,425.55
2020-11-30,Cal,398.76
2020-12-01,Cal,460.66
2020-12-02,Cal,320.22
2020-12-03,Cal,558.98
2020-12-04,Cal,296.35
2020-12-05,Cal,426.76
2020-12-06,Cal,342.34
2020-12-07,Cal,499.08
2020-12-08,Cal,297.14
2020-12-09,Cal,448.64
2020-12-10,Cal,367.72
2020-12-11,Cal,280.3
2020-12-12,Cal,8.85
2020-12-13,Cal,3.52
2020-12-14,Cal,356.93
2020-12-15,Cal,314.55
2020-12-16,Cal,478.11
2020-12-17,Cal,391.52
2020-12-18,Cal,111.05
2020-12-21,Cal,281.84
2020-12-22,Cal,495.91
2020-12-23,Cal,18.05
2020-12-24,Cal,347.4
2020-12-25,Cal,237.25
2020-12-28,Cal,827.78
2020-12-29,Cal,830.32
2020-12-30,Cal,738.64
2020-12-31,Cal,728.57
2021-01-01,Cal,372.83
2021-01-02,Cal,630.1
2021-01-03,Cal,95.35
2021-01-04,Cal,766.83
2021-01-05,Cal,529.11
2021-01-06,Cal,171.49
2021-01-07,Cal,660.15
2021-01-08,Cal,914.69
2021-01-09,Cal,368.3
2021-01-10,Cal,637.0
2021-01-11,Cal,752.26
2021-01-12,Cal,588.99
