date,Total Time
2025-08-07,99.89
2025-08-09,99.36
2025-08-10,33.82
2025-08-11,64.93
2025-08-13,55.17
2025-08-16,142.18
2025-08-17,30.43
2025-08-18,21.5
2025-08-22,79.26
2025-08-23,25.45
2025-08-25,41.27
2025-08-27,62.01
2025-08-29,80.45
2025-09-03,56.68
2025-09-04,55.4
2025-09-06,219.38
2025-09-08,54.72
2025-09-09,30.42
2025-09-15,62.2
2025-09-16,58.32
2025-09-17,7.81
2025-09-22,85.25
2025-09-23,86.79
2025-09-29,40.41
2025-09-30,56.03
2025-10-04,94.01
2025-10-09,71.58
2025-10-10,77.57
2025-10-12,88.94
2025-10-14,72.16
2025-12-11,54.13
2025-12-12,21.72
2025-12-13,69.79
2025-12-14,42.29
2025-12-17,68.27
2025-12-20,64.58
2025-12-23,53.47
2025-12-29,35.05
2025-12-30,84.91
2026-01-02,43.2
2026-01-03,44.58
2026-01-05,42.75
2026-01-06,57.92
2026-01-15,48.15
2026-01-20,104.55
2026-01-22,76.15
2026-01-26,71.8
2026-01-27,58.25
2026-01-29,84.15
2026-02-14,43.85
2026-02-23,13.5
2026-02-27,81.11
2026-02-28,145.23
2026-03-04,36.05
2026-03-06,30.47
2026-03-07,67.57
2026-03-12,72.62
2026-03-17,60.62
2026-03-20,57.16
2026-03-22,90.98
2026-03-25,81.79
2026-03-31,47.25
2026-04-01,49.67
2026-04-03,27.22
2026-04-06,42.98
2026-04-07,29.05
2026-04-08,69.09
2026-04-09,55.73
2026-04-10,79.84
2026-04-13,34.97
2026-04-15,53.85
2026-04-22,52.15
2026-04-23,68.63
2026-04-26,86.79
2026-04-27,57.58
2026-04-29,53.83
2026-05-01,62.19
2026-05-05,53.97
2026-05-06,99.39
2026-05-10,98.06
2026-05-13,81.61
2026-05-14,82.91
2026-05-15,75.13
2026-05-20,87.61
2026-05-21,66.52
2026-05-22,98.99
2026-05-28,49.9
2026-05-29,83.96
2026-06-01,113.73
2026-06-02,95.2
2026-06-04,58.13
2026-06-05,75.4
2026-06-06,28.58
2026-06-07,78.35
2026-06-08,56.83
2026-06-11,100.82
2026-06-13,70.63
2026-06-15,42.78
2026-06-16,86.85
2026-06-18,84.3
2026-06-24,49.03
